key, motion, time
h, hl1, 2313
r, vt1, 1082
n, hr1, 666
o, vb1, 840
b, hl1, 973
b, hr2, 555
o, vb1, 710
d, da1, 1508
y, hl1, 1352
y, hr2, 765
c, hl1, 1068
c, vb2, 912
r, vt1, 1283
s, hl1, 947
n, hr1, 527
y, hl1, 948
y, hr2, 623
m, hr1, 418
m, vb2, 269
o, vb1, 609
r, vt1, 550
w, vt1, 1233
w, vb2, 822
i, vb1, 648
h, hl1, 2846
h, hl1, 929
c, hl1, 721
c, vb2, 1200
h, hl1, 605
s, hl1, 1346
p, vb1, 814
p, vt2, 624
f, vb1, 914
f, vt2, 780
o, vb1, 819
r, vt1, 630
w, vt1, 1142
w, vb2, 649
r, vt1, 910
d, da1, 2363
n, hr1, 512
l, dc1, 978
n, hr1, 748
l, dc1, 879
r, vt1, 351
g, vb1, 1478
g, hl2, 845
d, da1, 1484
n, hr1, 644
o, vb1, 949
s, hl1, 712
s, hl1, 667
u, dd1, 1118
g, vb1, 1272
g, hl2, 711
g, vb1, 579
g, hl2, 578
s, hl1, 985
d, da1, 1062
y, hl1, 1097
y, hr2, 889
o, vb1, 950
u, dd1, 1037
r, vt1, 753
l, dc1, 1420
i, vb1, 1021
r, vt1, 554
d, da1, 1583
r, vt1, 596
o, vb1, 759
r, vt1, 1310
v, vt1, 729
v, hl2, 1245
m, hr1, 592
m, vb2, 423
y, hl1, 1222
y, hr2, 1098
c, hl1, 913
c, vb2, 579
h, hl1, 640
v, vt1, 1559
v, hl2, 715
y, hl1, 1506
y, hr2, 1086
o, vb1, 563
h, hl1, 513
l, dc1, 803
v, vt1, 1172
v, hl2, 377
d, da1, 1890
o, vb1, 655
n, hr1, 641
o, vb1, 933
s, hl1, 729
q, vb1, 1006
q, hr2, 689
u, dd1, 1856
n, hr1, 643
c, hl1, 941
c, vb2, 708
r, vt1, 670
y, hl1, 1023
y, hr2, 756
o, vb1, 812
u, dd1, 1012
r, vt1, 723
i, vb1, 734
m, hr1, 1193
m, vb2, 756
i, vb1, 1079
f, vb1, 1848
f, vt2, 823
o, vb1, 1003
r, vt1, 958
y, hl1, 1155
y, hr2, 823
o, vb1, 870
u, dd1, 1085
r, vt1, 580
i, vb1, 888
n, hr1, 1205
f, vb1, 1324
f, vt2, 800
o, vb1, 673
r, vt1, 541
m, hr1, 751
m, vb2, 534
i, vb1, 561
o, vb1, 1075
n, hr1, 906
o, vb1, 1291
n, hr1, 527
l, dc1, 762
y, hl1, 1059
y, hr2, 512
h, hl1, 1323
f, vb1, 982
f, vt2, 948
i, vb1, 641
r, vt1, 784
b, hl1, 1311
b, hr2, 911
l, dc1, 840
z, hl1, 1205
z, de2, 1131
d, da1, 2020
l, dc1, 1011
l, dc1, 686
r, vt1, 1119
w, vt1, 782
w, vb2, 558
k, hr1, 899
k, hl2, 800
n, hr1, 654
d, da1, 1521
m, hr1, 794
m, vb2, 731
o, vb1, 877
m, hr1, 719
m, vb2, 556
o, vb1, 694
r, vt1, 475
r, vt1, 543
o, vb1, 506
w, vt1, 1394
w, vb2, 645
i, vb1, 599
n, hr1, 628
h, hl1, 555
l, dc1, 1349
v, vt1, 1314
v, hl2, 821
o, vb1, 516
r, vt1, 1173
y, hl1, 2446
y, hr2, 934
b, hl1, 951
b, hr2, 755
m, hr1, 642
m, vb2, 333
n, hr1, 287
w, vt1, 1074
w, vb2, 711
r, vt1, 523
s, hl1, 1132
c, hl1, 897
c, vb2, 933
p, vb1, 1252
p, vt2, 823
g, vb1, 1508
g, hl2, 695
o, vb1, 610
o, vb1, 614
d, da1, 622
r, vt1, 648
s, hl1, 820
p, vb1, 647
p, vt2, 662
o, vb1, 662
n, hr1, 536
s, hl1, 1303
o, vb1, 581
h, hl1, 758
q, vb1, 860
q, hr2, 631
u, dd1, 1076
s, hl1, 715
i, vb1, 801
i, vb1, 510
o, vb1, 702
n, hr1, 685
u, dd1, 980
n, hr1, 904
i, vb1, 521
v, vt1, 2444
r, vt1, 536
s, hl1, 601
i, vb1, 629
i, vb1, 764
s, hl1, 1388
r, vt1, 558
o, vb1, 306
o, vb1, 545
x, hl1, 1422
x, vt2, 883
p, vb1, 586
p, vt2, 379
n, hr1, 820
s, hl1, 853
i, vb1, 503
v, vt1, 1555
v, hl2, 1072
m, hr1, 533
m, vb2, 314
y, hl1, 971
y, hr2, 725
d, da1, 1504
o, vb1, 560
g, vb1, 1716
g, hl2, 726
s, hl1, 433
h, hl1, 734
d, da1, 1506
s, hl1, 596
h, hl1, 793
i, vb1, 494
s, hl1, 676
h, hl1, 1677
i, vb1, 946
r, vt1, 694
h, hl1, 864
p, vb1, 451
p, vt2, 506
r, vt1, 540
i, vb1, 494
c, hl1, 1419
c, vb2, 789
o, vb1, 542
f, vb1, 1185
f, vt2, 599
g, vb1, 1386
g, hl2, 473
s, hl1, 910
w, vt1, 127
w, vb2, 1104
s, hl1, 578
h, hl1, 844
i, vb1, 541
g, vb1, 1324
g, hl2, 694
h, hl1, 740
